,business_id,latitude,longitude,stars,review_count,categories,nearby,avg_stars
85,_SzR2YKGpzdU3xC7VwaJGw,36.123228999999995,-115.24651200000001,2.0,175,"Discount Store, Drugstores, Fashion, Electronics, Department Stores, Grocery, Food, Shopping, Mobile Phones",14,0.14285714285714285
86,_t7g5RusswFMlAe01aoj4Q,36.143671999999995,-115.1409598,1.5,3,"Restaurants, Korean, Vietnamese",21,0.07142857142857142
87,_Tfaa-4uJVJgE7fE6xCQ_g,36.1008511,-115.2809922,3.0,15,"Desserts, Bakeries, Specialty Food, Food, Cupcakes",7,0.42857142857142855
88,_TlhZftKs1aXCYX1rLWAGw,36.17115,-115.145849,4.0,75,"Cocktail Bars, Bars, American (New), Nightlife, Arts & Entertainment, Restaurants, Casinos",73,0.0547945205479452
89,_TpHX3oQ_ZXdYiDDhFA3YQ,36.017627000000005,-115.11828390000001,3.0,11,"Steakhouses, Brazilian, Restaurants",70,0.04285714285714286
90,_TRbETlhqQq0OLzWbAPkvA,36.099679710100006,-115.298539235,4.0,161,"Donuts, Food",50,0.08
91,_tsHdyjoyzbuQ6qKWKpSlw,36.1148713,-115.20667350000001,4.0,8,"Russian, Restaurants",48,0.08333333333333333
92,_uxQ4lwOAogAfcqJivIZzA,36.0544645,-115.28319259999999,4.0,44,"Beer, Wine & Spirits, Food",21,0.19047619047619047
93,_V0yJdpXrbdKzBDoVSJGWA,36.1141583,-115.15353789999999,2.5,378,"Hotels, American (Traditional), Casinos, Hotels & Travel, Arts & Entertainment, Do-It-Yourself Food, Restaurants, Event Planning & Services, Food",26,0.09615384615384616
94,_vHI2zsJp7b02MFJUWJgbw,36.1261531,-115.1938744,4.0,110,"Event Planning & Services, Bakeries, Desserts, Food, Caterers, Patisserie/Cake Shop",73,0.0547945205479452
95,_VOWg7uFcJUxMpQpi3SoQA,36.1799564,-115.20642749999999,3.5,3,"Food, Donuts",8,0.4375
96,_vvK0PUe7KJtntpRVVAj4Q,36.1413554,-115.13558929999999,4.0,72,"Cuban, Restaurants",19,0.21052631578947367
97,_w5hBpkjHs5_Hv3pLeHtIw,36.1083306218,-115.17580753600001,4.0,1785,"Spanish, Restaurants, Tapas Bars",85,0.047058823529411764
98,_W8btpVQSxxk8cVJFMjYHA,36.2190599,-115.2588916,4.5,32,"Shopping, Bakeries, Chocolatiers & Shops, Hobby Shops, Specialty Food, Do-It-Yourself Food, Cooking Classes, Custom Cakes, Education, Specialty Schools, Candy Stores, Arts & Crafts, Food",13,0.34615384615384615
99,_WEZNXybW8cu1T1KAiY08w,36.0966847702,-115.17688997559999,2.5,35,"Food, Ice Cream & Frozen Yogurt, Desserts, Juice Bars & Smoothies",49,0.05102040816326531
100,_WrvsSqeeMhV1QbSj_QS9Q,36.2402715191,-115.1156601499,3.5,48,"Food, Juice Bars & Smoothies",4,0.875
101,_XM07jbQGliVPwnAfyyGUA,36.1314439,-115.16488580000001,3.0,5,"Kosher, Restaurants",28,0.10714285714285714
102,_Xzz-PChcdJ1862CK6dRyw,36.0794375,-115.29806570000001,4.5,143,"Restaurants, Food, Breakfast & Brunch, Juice Bars & Smoothies, Coffee & Tea",16,0.28125
103,_y1Et7f4NE6D1P1GzphlIw,36.2717805646,-115.2071982663,4.5,402,"Restaurants, Pizza, Salad, Gluten-Free, Fast Food",16,0.28125
104,_Y7090jnL5EezPib1ZVF1A,36.115883000000004,-115.30617340000002,3.0,108,"Bars, American (Traditional), Nightlife, Food, Tex-Mex, Restaurants",35,0.08571428571428572
105,_yAYxyEBMIbqFL8pubaf_g,36.14356,-115.26095,3.0,17,"Restaurants, Fast Food, Tex-Mex, Mexican",19,0.15789473684210525
106,_YIC05xpnIMIkn5LVwKf9w,36.1035296,-115.1723424,2.5,14,"Seafood, American (Traditional), Chicken Wings, Restaurants, Fast Food",124,0.020161290322580645
107,_YUcCnJXjUgkS9fSnNi0Ow,36.1260858079,-115.1886411206,4.0,243,"Shaved Ice, Desserts, Food",25,0.16
108,_ZAyDn90y0GppJQZ2Ah2Yw,36.132812,-115.084833,3.5,6,"Coffee & Tea, Food",11,0.3181818181818182
109,_ZSCWjiYNPjnteZDo-AZOg,36.1682555,-115.2947189,3.0,20,"Mexican, Restaurants, Seafood",2,1.5
110,-_TSaVr53qiEGqMkwyEMaQ,36.100502,-115.20923400000001,4.0,476,"Sandwiches, Vegan, Mediterranean, Restaurants, Middle Eastern, Vegetarian",23,0.17391304347826086
111,-_yEVC3_3M6YOsamYfNFEw,36.117898,-115.1367955,4.0,203,"American (New), Caterers, Event Planning & Services, Restaurants, Sandwiches, Salad, Delis",34,0.11764705882352941
112,--9e1ONYQuAa-CB_Rrw7Tw,36.123183000000004,-115.16918999999999,4.0,1613,"Cajun/Creole, Seafood, Steakhouses, Restaurants",144,0.027777777777777776
113,--q7kSBRb0vWC8lSkXFByA,36.0166929,-115.173115,4.0,7,"Pizza, Bars, Sports Bars, Restaurants, Nightlife",9,0.4444444444444444
114,-0BxAGlIk5DJAGVkpqBXxg,36.122935,-115.16852800000001,3.0,44,"Food, Restaurants, Coffee & Tea",140,0.02142857142857143
115,-0RkJ_uIduNLWQrphbADRw,36.207538899999996,-115.2681541,4.5,61,"Coffee & Tea, Cafes, Food, Restaurants, Breakfast & Brunch",10,0.45
116,-153AjTW5luZPK4omEujWA,36.1030009,-115.17351609999999,3.0,5,"Hot Dogs, Restaurants",99,0.030303030303030304
117,-1m9o3vGRA8IBPNvNqKLmA,36.10433,-115.1755933333,4.5,251,"Bars, Cocktail Bars, Restaurants, African, Seafood, American (New), Steakhouses, Nightlife",85,0.052941176470588235
118,-1uVyyy3UXNA9WoPucNniA,36.0291100543,-115.11682346459999,4.5,39,"Food, Butcher, Specialty Food, Fruits & Veggies, Grocery, Seafood Markets, Meat Shops",29,0.15517241379310345
119,-1vfRrlnNnNJ5boOVghMPA,36.2812952069,-115.28673650299999,3.0,78,"Korean, Restaurants, Sushi Bars",11,0.2727272727272727
120,-3H_6UZGWrfl8XQsm1fBmw,36.1192552405,-115.1462362334,2.5,7,"Ice Cream & Frozen Yogurt, Food, Donuts, Specialty Food",9,0.2777777777777778
121,-3zffZUHoY8bQjGfPSoBKQ,36.111990000000006,-115.177001,4.0,636,"Nightlife, Bars, American (New), Seafood, Restaurants",38,0.10526315789473684
122,-46pFijv3f2jZH-_Ze6CQA,36.1154492319,-115.1777511963,4.0,23,"Local Flavor, Wineries, Food, Arts & Entertainment, Restaurants",54,0.07407407407407407
123,-8R_-EkGpUhBk55K9Dd4mg,36.072509765599996,-115.2069015503,3.5,117,"Thai, Restaurants",13,0.2692307692307692
124,-8ZiMXZReeTD3kwEvS0Lww,36.277837700000006,-115.28664599999999,4.5,130,"Meat Shops, Butcher, Food, Seafood Markets, Specialty Food",20,0.225
125,-95mbLJsa0CxXhpaNL4LvA,36.055251,-115.225806,3.5,688,"Desserts, Coffee & Tea, Ice Cream & Frozen Yogurt, Bubble Tea, Food, Juice Bars & Smoothies, Food Delivery Services",17,0.20588235294117646
126,-9Ir5OiFiOszIgeFgalXcw,36.117507,-115.18813999999999,3.0,43,"Food, Coffee & Tea",23,0.13043478260869565
127,-9YyInW1wapzdNZrhQJ9dg,36.1362575,-115.15125259999998,2.5,193,"Buffets, Restaurants",23,0.10869565217391304
128,-a43zqioXNOjx_QejRS9FA,36.162026399999995,-115.134767,4.0,9,"Juice Bars & Smoothies, Salad, Restaurants, Food, Cafes",3,1.3333333333333333
129,-a857YYdjzgOdOjFFRsRXQ,36.111993083099996,-115.1724253893,3.5,536,"Sandwiches, American (Traditional), Cocktail Bars, Bars, Sports Bars, Food Stands, Restaurants, Beer Bar, Steakhouses, Nightlife, Burgers",125,0.028
130,-AD5PiuJHgdUcAK-Vxao2A,36.1038286,-115.13734140000001,3.5,302,"American (New), Burgers, Restaurants",56,0.0625
131,-ADtl9bLp8wNqYX1k3KuxA,36.2714973,-115.26759840000001,4.0,476,"Japanese, Sushi Bars, Asian Fusion, Restaurants, Ramen",19,0.21052631578947367
132,-AGdGGCeTS-njB_8GkUmjQ,36.1436636,-115.1418906,4.0,8,"Restaurants, Korean",22,0.18181818181818182
133,-BAOJ8aA5MCrYx_tQUyZHg,36.1101040621,-115.1736420393,4.5,24,"Ice Cream & Frozen Yogurt, Food",120,0.0375
134,-Bf8BQ3yMk8U2f45r2DRKw,36.195663200000006,-115.24651340000001,4.0,191,"Restaurants, Burgers, Fast Food",22,0.18181818181818182
135,-blcoBWe_z8B2I9XVESvjQ,36.1249276,-115.1354186,3.5,3,"Food, Juice Bars & Smoothies",26,0.1346153846153846
136,-BmqghX1sv7sgsxOIS2yAg,36.1216467,-115.144848,4.0,184,"Ethiopian, Restaurants, Vegetarian, Cafes",16,0.25
137,-BS4aZAQm9u41YnB9MUASA,36.1428613059,-115.2802671618,4.5,73,"Restaurants, Moroccan",18,0.25
138,-Bv-HHUs8aHzDrdWcZHn8w,36.1178686988,-115.1759480934,3.0,88,"Burgers, Restaurants",73,0.0410958904109589
139,-byybpV9bP2k0aJ6-WhiBA,36.1073485,-115.17658359999999,4.5,62,"Juice Bars & Smoothies, Food, Ice Cream & Frozen Yogurt",51,0.08823529411764706
140,-C8sSrFqaCxp51pyo-fQLQ,36.1231118615,-115.2798969372,4.5,135,"Comfort Food, Food, Asian Fusion, Restaurants, Specialty Food",25,0.18
141,-CbDQXiuKzPQ0_jiUz03aw,36.071946399999995,-115.1067983,4.0,49,"Restaurants, Japanese, Thai",9,0.4444444444444444
142,-cOVyWUJlasj-wpMAaWwvQ,36.0126257,-115.11952579999999,4.5,48,"Ice Cream & Frozen Yogurt, Food",28,0.16071428571428573
143,-CQokjildrY7UZezXCdEBw,36.1714234,-115.2452456,5.0,41,"Nightlife, Asian Fusion, Indian, Bars, Restaurants, Dive Bars, American (Traditional), Bar Crawl",18,0.2777777777777778
144,-cxD1NimFldATDUsN-oa3A,36.102737,-115.20201599999999,2.0,23,"Mexican, Restaurants",20,0.1
145,-CZwX0Fy14DGCY_2aFkhKg,36.1269391,-115.2416392,3.5,5,"Food, Chicken Wings, Korean, Restaurants",38,0.09210526315789473
146,-dGORHtjPRnQzTZ2-SYa_g,36.127032,-115.168361,3.0,32,"Restaurants, Sandwiches",93,0.03225806451612903
147,-ed0Yc9on37RoIoG2ZgxBA,36.1688018067,-115.1398800888,4.0,1638,"Beer Gardens, Nightlife, Restaurants, Thai",116,0.034482758620689655
148,-EohS3nXZGl6odE9Lx5BSw,36.1008337598,-115.0543288058,1.5,12,"Chinese, Restaurants, Event Planning & Services, Caterers, Fast Food",10,0.15
149,-ErwgUmZ1-jHW_rSu55jlg,36.19623729999999,-115.2575104,4.0,32,"Ice Cream & Frozen Yogurt, Food",37,0.10810810810810811
150,-FcZY7a7qgxTUlTvwuyJnQ,36.1569067426,-115.33299091280001,3.5,262,"Restaurants, Chinese, Japanese, Asian Fusion",32,0.109375
151,-fJ8qqZN4wg2o2VoRlYfAw,36.1431717,-115.26286599999999,5.0,5,"Sporting Goods, Sports Wear, Fashion, Food, Specialty Food, Shopping, Health Markets, Vitamins & Supplements",22,0.22727272727272727
152,-FlrlELIGmCqdt_JxbdFgg,36.1937598519,-115.305485597,3.0,9,"Restaurants, Caterers, Event Planning & Services, Chinese",28,0.10714285714285714
153,-FNquqGseSCVMWo7KbK-Tg,36.1070796309,-115.1370644881,3.5,136,"Mexican, Fast Food, Restaurants",61,0.05737704918032787
154,-G7MPSNBpxRJmtrJxdwt7A,36.1470589,-115.06466359999999,3.0,53,"Restaurants, Mexican, Salvadoran, Latin American",10,0.3
155,-G9DFmuokdYk_H35ezRkAw,36.1212806702,-115.1722869873,4.0,8,"Hotels & Travel, Beer, Wine & Spirits, Food, Nightlife, Lounges, Local Flavor, Bars",124,0.03225806451612903
156,-gXDD2oSHBDA3zgjX6g9pQ,36.145359,-115.0826008,4.0,27,"American (Traditional), Sports Bars, Nightlife, Bars, Restaurants, Pubs",5,0.8
157,-heiUEHVRPHo5xaAE8vwTg,36.106477000000005,-115.29806570000001,5.0,26,"Food, Bakeries, Custom Cakes",9,0.5555555555555556
158,-hzQQ8tbXThpp0k5E_y1Dw,36.1038915827,-115.16931945389999,3.0,78,"Ice Cream & Frozen Yogurt, Food, Restaurants, Desserts",61,0.04918032786885246
159,-iBk1_3M_efQtY6Bcygp5w,36.1337103,-115.0850568,4.5,9,"Mexican, Restaurants",12,0.375
160,-ifVnqwrgCE3Nc4svkJDMg,36.110729,-115.171796,2.0,101,"Food, Coffee & Tea",131,0.015267175572519083
161,-iFvYhgysvjkxckCr42NRw,36.1435825,-115.20141559999999,4.0,190,"Restaurants, Food, Ethnic Food, Indian, Specialty Food, Vegetarian, Grocery",16,0.25
162,-ilCufjKjeswCLyIrCtuqQ,36.1159916579,-115.17130903399999,3.5,163,"Restaurants, Nightlife, Bars, Mexican",124,0.028225806451612902
163,-INdswGdyRyy72xXHalNbg,36.1254888,-115.19523149999999,3.0,158,"Meat Shops, Food, Fruits & Veggies, Ethnic Food, Specialty Food, Grocery, Seafood Markets",85,0.03529411764705882
164,-IWsoxH7mLJTTpU5MmWY4w,36.1265982988,-115.19778381100001,4.0,832,"Noodles, Restaurants, Vietnamese",81,0.04938271604938271
165,-jEyZSptICvvaNhuur9rUg,36.1376416,-115.1653861,2.5,11,"Coffee & Tea, Breakfast & Brunch, Food, Bagels, Restaurants",21,0.11904761904761904
166,-JfncbVURtvuzBbof40o1w,36.1047813604,-115.1746626725,2.5,140,"Cafes, Sandwiches, American (Traditional), Restaurants",115,0.021739130434782608
167,-JFVxwdVQfX207554dx1nw,36.0106875,-115.13712779999999,3.5,146,"Restaurants, Japanese, Asian Fusion, Hawaiian",35,0.1
168,-Jo0rJr2mZxBVgaJqDs-TQ,36.0986458,-115.13606409999998,3.5,6,"African, South African, Restaurants",19,0.18421052631578946
